#ID	Whisson2007
PHYGONAP_000572-T1	neither
PHYGONAP_000573-T1	neither
PHYGONAP_000574-T1	neither
PHYGONAP_000575-T1	neither
PHYGONAP_000576-T1	neither
PHYGONAP_000577-T1	neither
PHYGONAP_000578-T1	neither
PHYGONAP_000579-T1	neither
PHYGONAP_000580-T1	neither
PHYGONAP_000581-T1	neither
PHYGONAP_000582-T1	neither
PHYGONAP_000583-T1	neither
PHYGONAP_000584-T1	neither
PHYGONAP_000585-T1	neither
PHYGONAP_000586-T1	neither
PHYGONAP_000587-T1	neither
PHYGONAP_000588-T1	neither
PHYGONAP_000589-T1	neither
PHYGONAP_000590-T1	neither
PHYGONAP_000592-T1	neither
PHYGONAP_000593-T1	neither
PHYGONAP_000594-T1	neither
PHYGONAP_000595-T1	neither
PHYGONAP_000596-T1	neither
PHYGONAP_000597-T1	neither
PHYGONAP_000598-T1	neither
PHYGONAP_000599-T1	neither
PHYGONAP_000600-T1	neither
PHYGONAP_000601-T1	neither
PHYGONAP_000602-T1	neither
PHYGONAP_000603-T1	neither
PHYGONAP_000604-T1	neither
PHYGONAP_000605-T1	neither
PHYGONAP_000607-T1	neither
PHYGONAP_000608-T1	neither
PHYGONAP_000612-T1	neither
PHYGONAP_000613-T1	neither
PHYGONAP_000614-T1	neither
PHYGONAP_000615-T1	neither
PHYGONAP_000616-T1	neither
PHYGONAP_000617-T1	neither
PHYGONAP_000618-T1	neither
PHYGONAP_000619-T1	neither
PHYGONAP_000620-T1	neither
PHYGONAP_000621-T1	neither
PHYGONAP_000622-T1	neither
PHYGONAP_000623-T1	neither
PHYGONAP_000624-T1	neither
PHYGONAP_000625-T1	neither
PHYGONAP_000626-T1	neither
PHYGONAP_000627-T1	neither
PHYGONAP_000628-T1	neither
PHYGONAP_000629-T1	neither
PHYGONAP_000630-T1	neither
PHYGONAP_000631-T1	neither
PHYGONAP_000632-T1	neither
PHYGONAP_000633-T1	neither
PHYGONAP_000636-T1	neither
PHYGONAP_000637-T1	neither
PHYGONAP_000638-T1	neither
PHYGONAP_000639-T1	neither
PHYGONAP_000640-T1	neither
PHYGONAP_000641-T1	neither
PHYGONAP_000642-T1	neither
PHYGONAP_000643-T1	neither
PHYGONAP_000644-T1	neither
PHYGONAP_000645-T1	neither
PHYGONAP_000646-T1	neither
PHYGONAP_000647-T1	neither
PHYGONAP_000648-T1	neither
PHYGONAP_000649-T1	neither
PHYGONAP_000650-T1	neither
PHYGONAP_000651-T1	neither
PHYGONAP_000652-T1	neither
PHYGONAP_000653-T1	neither
PHYGONAP_000654-T1	neither
PHYGONAP_000655-T1	neither
PHYGONAP_000656-T1	neither
PHYGONAP_000657-T1	neither
PHYGONAP_000658-T1	neither
PHYGONAP_000659-T1	neither
PHYGONAP_000660-T1	neither
PHYGONAP_000661-T1	neither
PHYGONAP_000662-T1	neither
PHYGONAP_000663-T1	neither
PHYGONAP_000664-T1	neither
PHYGONAP_000665-T1	neither
PHYGONAP_000666-T1	neither
PHYGONAP_000667-T1	neither
PHYGONAP_000668-T1	neither
PHYGONAP_000669-T1	neither
PHYGONAP_000670-T1	neither
PHYGONAP_000671-T1	neither
PHYGONAP_000672-T1	neither
PHYGONAP_000673-T1	neither
PHYGONAP_000674-T1	neither
PHYGONAP_000675-T1	neither
PHYGONAP_000676-T1	neither
PHYGONAP_000677-T1	neither
PHYGONAP_000678-T1	neither
PHYGONAP_000679-T1	neither
PHYGONAP_000680-T1	neither
PHYGONAP_000681-T1	neither
PHYGONAP_000682-T1	neither
PHYGONAP_000683-T1	neither
PHYGONAP_000684-T1	neither
PHYGONAP_000685-T1	neither
PHYGONAP_000686-T1	neither
PHYGONAP_000687-T1	neither
PHYGONAP_000688-T1	neither
PHYGONAP_000689-T1	neither
PHYGONAP_000690-T1	neither
PHYGONAP_000691-T1	neither
PHYGONAP_000692-T1	neither
PHYGONAP_000693-T1	neither
PHYGONAP_000694-T1	neither
PHYGONAP_000695-T1	neither
PHYGONAP_000696-T1	neither
PHYGONAP_000697-T1	neither
PHYGONAP_000698-T1	neither
PHYGONAP_000699-T1	neither
PHYGONAP_000700-T1	neither
PHYGONAP_000701-T1	neither
PHYGONAP_000702-T1	neither
PHYGONAP_000703-T1	neither
PHYGONAP_000704-T1	neither
PHYGONAP_000705-T1	neither
PHYGONAP_000706-T1	neither
PHYGONAP_000707-T1	neither
PHYGONAP_000708-T1	neither
PHYGONAP_000709-T1	neither
PHYGONAP_000710-T1	neither
PHYGONAP_000711-T1	neither
PHYGONAP_000712-T1	neither
PHYGONAP_000713-T1	neither
PHYGONAP_000714-T1	neither
PHYGONAP_000715-T1	neither
PHYGONAP_000716-T1	neither
PHYGONAP_000717-T1	neither
PHYGONAP_000718-T1	neither
PHYGONAP_000719-T1	neither
PHYGONAP_000720-T1	neither
PHYGONAP_000721-T1	neither
PHYGONAP_000722-T1	neither
PHYGONAP_000723-T1	neither
PHYGONAP_000724-T1	neither
PHYGONAP_000725-T1	neither
PHYGONAP_000726-T1	neither
PHYGONAP_000727-T1	neither
PHYGONAP_000728-T1	neither
PHYGONAP_000729-T1	neither
PHYGONAP_000730-T1	neither
PHYGONAP_000731-T1	neither
PHYGONAP_000732-T1	neither
PHYGONAP_000733-T1	neither
PHYGONAP_000734-T1	neither
PHYGONAP_000735-T1	neither
PHYGONAP_000736-T1	neither
PHYGONAP_000737-T1	neither
PHYGONAP_000738-T1	neither
PHYGONAP_000739-T1	neither
PHYGONAP_000740-T1	neither
PHYGONAP_000741-T1	neither
PHYGONAP_000742-T1	neither
PHYGONAP_000743-T1	neither
PHYGONAP_000744-T1	neither
PHYGONAP_000745-T1	neither
PHYGONAP_000746-T1	neither
PHYGONAP_000747-T1	neither
PHYGONAP_000748-T1	neither
PHYGONAP_000749-T1	neither
PHYGONAP_000750-T1	neither
PHYGONAP_000751-T1	neither
PHYGONAP_000752-T1	neither
PHYGONAP_000753-T1	neither
PHYGONAP_000754-T1	neither
PHYGONAP_000755-T1	neither
PHYGONAP_000756-T1	neither
PHYGONAP_000757-T1	neither
PHYGONAP_000758-T1	neither
PHYGONAP_000759-T1	neither
PHYGONAP_000760-T1	neither
PHYGONAP_000761-T1	neither
PHYGONAP_000762-T1	neither
PHYGONAP_000763-T1	neither
PHYGONAP_000764-T1	neither
PHYGONAP_000765-T1	neither
PHYGONAP_000766-T1	neither
PHYGONAP_000767-T1	neither
PHYGONAP_000768-T1	neither
PHYGONAP_000769-T1	neither
PHYGONAP_000770-T1	neither
PHYGONAP_000771-T1	neither
PHYGONAP_000772-T1	neither
PHYGONAP_000773-T1	neither
PHYGONAP_000774-T1	neither
PHYGONAP_000775-T1	neither
PHYGONAP_000776-T1	neither
PHYGONAP_000777-T1	neither
PHYGONAP_000778-T1	neither
PHYGONAP_000779-T1	neither
PHYGONAP_000780-T1	neither
PHYGONAP_000781-T1	neither
PHYGONAP_000782-T1	neither
PHYGONAP_000783-T1	neither
PHYGONAP_000784-T1	neither
PHYGONAP_000785-T1	neither
PHYGONAP_000786-T1	neither
PHYGONAP_000787-T1	neither
PHYGONAP_000788-T1	neither
PHYGONAP_000789-T1	neither
PHYGONAP_000790-T1	neither
PHYGONAP_000791-T1	neither
PHYGONAP_000792-T1	neither
PHYGONAP_000793-T1	neither
PHYGONAP_000794-T1	neither
PHYGONAP_000795-T1	neither
PHYGONAP_000796-T1	neither
PHYGONAP_000797-T1	neither
PHYGONAP_000798-T1	neither
PHYGONAP_000799-T1	neither
PHYGONAP_000800-T1	neither
PHYGONAP_000801-T1	neither
PHYGONAP_000802-T1	neither
PHYGONAP_000803-T1	neither
PHYGONAP_000804-T1	neither
PHYGONAP_000805-T1	neither
PHYGONAP_000806-T1	neither
PHYGONAP_000807-T1	neither
PHYGONAP_000808-T1	neither
PHYGONAP_000809-T1	neither
PHYGONAP_000810-T1	neither
PHYGONAP_000811-T1	neither
PHYGONAP_000812-T1	neither
PHYGONAP_000813-T1	neither
PHYGONAP_000814-T1	neither
PHYGONAP_000815-T1	neither
PHYGONAP_000816-T1	neither
PHYGONAP_000817-T1	neither
PHYGONAP_000818-T1	neither
PHYGONAP_000819-T1	neither
PHYGONAP_000820-T1	neither
PHYGONAP_000821-T1	neither
PHYGONAP_000822-T1	neither
PHYGONAP_000823-T1	neither
PHYGONAP_000824-T1	neither
PHYGONAP_000825-T1	neither
PHYGONAP_000826-T1	neither
PHYGONAP_000827-T1	neither
PHYGONAP_000828-T1	neither
