#ID	Bhattacharjee2006
PHYSUEDO_000609-T1	N
PHYSUEDO_000610-T1	N
PHYSUEDO_000611-T1	N
PHYSUEDO_000612-T1	N
PHYSUEDO_000613-T1	N
PHYSUEDO_000614-T1	N
PHYSUEDO_000615-T1	N
PHYSUEDO_000616-T1	N
PHYSUEDO_000617-T1	N
PHYSUEDO_000618-T1	N
PHYSUEDO_000619-T1	N
PHYSUEDO_000620-T1	N
PHYSUEDO_000621-T1	N
PHYSUEDO_000622-T1	N
PHYSUEDO_000623-T1	N
PHYSUEDO_000624-T1	N
PHYSUEDO_000625-T1	N
PHYSUEDO_000626-T1	N
PHYSUEDO_000627-T1	N
PHYSUEDO_000628-T1	N
PHYSUEDO_000629-T1	N
PHYSUEDO_000630-T1	N
PHYSUEDO_000631-T1	N
PHYSUEDO_000632-T1	N
PHYSUEDO_000633-T1	N
PHYSUEDO_000634-T1	N
PHYSUEDO_000635-T1	N
PHYSUEDO_000636-T1	N
PHYSUEDO_000637-T1	N
PHYSUEDO_000638-T1	N
PHYSUEDO_000639-T1	N
PHYSUEDO_000640-T1	N
PHYSUEDO_000641-T1	N
PHYSUEDO_000642-T1	N
PHYSUEDO_000643-T1	Y
PHYSUEDO_000644-T1	N
PHYSUEDO_000645-T1	N
PHYSUEDO_000646-T1	N
PHYSUEDO_000647-T1	N
PHYSUEDO_000648-T1	N
PHYSUEDO_000649-T1	N
PHYSUEDO_000650-T1	N
PHYSUEDO_000651-T1	N
PHYSUEDO_000652-T1	N
PHYSUEDO_000653-T1	N
PHYSUEDO_000654-T1	N
PHYSUEDO_000655-T1	N
PHYSUEDO_000656-T1	N
PHYSUEDO_000657-T1	N
PHYSUEDO_000658-T1	N
PHYSUEDO_000659-T1	N
PHYSUEDO_000660-T1	N
PHYSUEDO_000661-T1	N
PHYSUEDO_000662-T1	N
PHYSUEDO_000663-T1	N
PHYSUEDO_000664-T1	N
PHYSUEDO_000665-T1	N
PHYSUEDO_000666-T1	N
PHYSUEDO_000667-T1	N
PHYSUEDO_000668-T1	N
PHYSUEDO_000669-T1	N
PHYSUEDO_000670-T1	N
PHYSUEDO_000671-T1	N
PHYSUEDO_000672-T1	N
PHYSUEDO_000673-T1	N
PHYSUEDO_000674-T1	N
PHYSUEDO_000675-T1	N
PHYSUEDO_000676-T1	N
PHYSUEDO_000677-T1	N
PHYSUEDO_000678-T1	N
PHYSUEDO_000679-T1	N
PHYSUEDO_000680-T1	N
PHYSUEDO_000681-T1	N
PHYSUEDO_000682-T1	N
PHYSUEDO_000683-T1	N
PHYSUEDO_000684-T1	N
PHYSUEDO_000685-T1	N
PHYSUEDO_000686-T1	N
PHYSUEDO_000687-T1	N
PHYSUEDO_000688-T1	N
PHYSUEDO_000689-T1	N
PHYSUEDO_000690-T1	N
PHYSUEDO_000691-T1	N
PHYSUEDO_000692-T1	N
PHYSUEDO_000693-T1	N
PHYSUEDO_000694-T1	N
PHYSUEDO_000695-T1	N
PHYSUEDO_000696-T1	N
PHYSUEDO_000697-T1	N
PHYSUEDO_000698-T1	N
PHYSUEDO_000699-T1	N
PHYSUEDO_000700-T1	N
PHYSUEDO_000701-T1	N
PHYSUEDO_000702-T1	N
PHYSUEDO_000703-T1	N
PHYSUEDO_000704-T1	N
PHYSUEDO_000705-T1	N
PHYSUEDO_000706-T1	N
PHYSUEDO_000707-T1	N
PHYSUEDO_000708-T1	N
PHYSUEDO_000709-T1	N
PHYSUEDO_000710-T1	N
PHYSUEDO_000711-T1	N
PHYSUEDO_000712-T1	N
PHYSUEDO_000713-T1	N
PHYSUEDO_000714-T1	N
PHYSUEDO_000715-T1	N
PHYSUEDO_000716-T1	N
PHYSUEDO_000717-T1	N
PHYSUEDO_000718-T1	N
PHYSUEDO_000719-T1	N
PHYSUEDO_000720-T1	Y
PHYSUEDO_000721-T1	N
PHYSUEDO_000722-T1	N
PHYSUEDO_000723-T1	N
PHYSUEDO_000724-T1	N
PHYSUEDO_000725-T1	N
PHYSUEDO_000726-T1	N
PHYSUEDO_000727-T1	N
PHYSUEDO_000728-T1	N
PHYSUEDO_000729-T1	N
PHYSUEDO_000730-T1	N
PHYSUEDO_000731-T1	N
PHYSUEDO_000732-T1	N
PHYSUEDO_000733-T1	N
PHYSUEDO_000734-T1	N
PHYSUEDO_000735-T1	N
PHYSUEDO_000736-T1	N
PHYSUEDO_000737-T1	N
PHYSUEDO_000738-T1	N
PHYSUEDO_000739-T1	N
PHYSUEDO_000740-T1	N
PHYSUEDO_000741-T1	N
PHYSUEDO_000742-T1	N
PHYSUEDO_000743-T1	N
PHYSUEDO_000744-T1	N
PHYSUEDO_000745-T1	N
PHYSUEDO_000746-T1	N
PHYSUEDO_000747-T1	N
PHYSUEDO_000748-T1	N
PHYSUEDO_000749-T1	N
PHYSUEDO_000750-T1	N
PHYSUEDO_000751-T1	N
PHYSUEDO_000752-T1	N
PHYSUEDO_000753-T1	N
PHYSUEDO_000754-T1	N
PHYSUEDO_000755-T1	N
PHYSUEDO_000756-T1	N
PHYSUEDO_000757-T1	N
PHYSUEDO_000758-T1	N
PHYSUEDO_000759-T1	N
PHYSUEDO_000760-T1	N
PHYSUEDO_000761-T1	N
PHYSUEDO_000762-T1	N
PHYSUEDO_000763-T1	N
PHYSUEDO_000764-T1	N
PHYSUEDO_000765-T1	N
PHYSUEDO_000766-T1	N
PHYSUEDO_000767-T1	N
PHYSUEDO_000768-T1	N
PHYSUEDO_000769-T1	N
PHYSUEDO_000770-T1	N
PHYSUEDO_000771-T1	N
PHYSUEDO_000772-T1	N
PHYSUEDO_000773-T1	N
PHYSUEDO_000774-T1	N
PHYSUEDO_000775-T1	N
PHYSUEDO_000776-T1	N
PHYSUEDO_000777-T1	N
PHYSUEDO_000778-T1	N
PHYSUEDO_000779-T1	N
PHYSUEDO_000780-T1	N
PHYSUEDO_000781-T1	N
PHYSUEDO_000782-T1	N
PHYSUEDO_000783-T1	N
PHYSUEDO_000784-T1	N
PHYSUEDO_000785-T1	N
PHYSUEDO_000786-T1	N
PHYSUEDO_000787-T1	N
PHYSUEDO_000788-T1	N
PHYSUEDO_000789-T1	N
PHYSUEDO_000790-T1	N
PHYSUEDO_000791-T1	N
PHYSUEDO_000792-T1	N
PHYSUEDO_000793-T1	N
PHYSUEDO_000794-T1	N
PHYSUEDO_000795-T1	N
PHYSUEDO_000796-T1	N
PHYSUEDO_000797-T1	N
PHYSUEDO_000798-T1	N
PHYSUEDO_000799-T1	N
PHYSUEDO_000800-T1	N
PHYSUEDO_000801-T1	N
PHYSUEDO_000802-T1	N
PHYSUEDO_000803-T1	N
